Case 02,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.07251E-06,1.05446E-06,1.05547E-06,1.04846E-06,1.04976E-06,1.05404E-06,1.05403E-06,1.05581E-06,1.05188E-06,1.04877E-06,1.04844E-06,1.05762E-06,1.05424E-06,1.05505E-06,1.15435E-06,1.05677E-06,1.0577E-06,1.05462E-06,1.14949E-06,1.05368E-06
Default setting 02,1.07829E-06,1.05298E-06,1.05136E-06,1.05163E-06,1.05189E-06,1.05307E-06,1.05225E-06,1.0514E-06,1.05082E-06,1.04721E-06,1.05295E-06,1.05275E-06,1.05194E-06,1.05265E-06,1.15468E-06,1.05388E-06,1.05316E-06,1.05053E-06,1.14779E-06,1.05511E-06
Default setting 03,1.06992E-06,1.05001E-06,1.04968E-06,1.05188E-06,1.05257E-06,1.06001E-06,1.05176E-06,1.05575E-06,1.0476E-06,1.05227E-06,1.0529E-06,1.0588E-06,1.05392E-06,1.05281E-06,1.154E-06,1.05506E-06,1.05178E-06,1.05203E-06,1.15414E-06,1.05343E-06
Default setting 04,1.05274E-06,1.05286E-06,1.0505E-06,1.05003E-06,1.05014E-06,1.05503E-06,1.05176E-06,1.05461E-06,1.05226E-06,1.05008E-06,1.05374E-06,1.05874E-06,1.05793E-06,1.05459E-06,1.14376E-06,1.0533E-06,1.05446E-06,1.05388E-06,1.15673E-06,1.057E-06
Default setting 05,1.06063E-06,1.0514E-06,1.05081E-06,1.05231E-06,1.05309E-06,1.05436E-06,1.05001E-06,1.05089E-06,1.05063E-06,1.04861E-06,1.05352E-06,1.06344E-06,1.05832E-06,1.05144E-06,1.08027E-06,1.05542E-06,1.055E-06,1.05404E-06,1.15617E-06,1.05406E-06
Default setting 06,1.04834E-06,1.05221E-06,1.05165E-06,1.05088E-06,1.04929E-06,1.05425E-06,1.05108E-06,1.05544E-06,1.04978E-06,1.04467E-06,1.05466E-06,1.05997E-06,1.05304E-06,1.05579E-06,1.07882E-06,1.05353E-06,1.04998E-06,1.053E-06,1.15523E-06,1.05267E-06
Default setting 07,1.04947E-06,1.05065E-06,1.0489E-06,1.04899E-06,1.05427E-06,1.0541E-06,1.05174E-06,1.05394E-06,1.05139E-06,1.04774E-06,1.05378E-06,1.05614E-06,1.05347E-06,1.05811E-06,1.07859E-06,1.06011E-06,1.05538E-06,1.05684E-06,1.15654E-06,1.05173E-06
Default setting 08,1.0492E-06,1.05238E-06,1.04874E-06,1.05227E-06,1.05172E-06,1.05334E-06,1.04588E-06,1.05314E-06,1.05247E-06,1.04864E-06,1.05265E-06,1.05653E-06,1.05077E-06,1.05578E-06,1.07947E-06,1.0595E-06,1.05077E-06,1.05695E-06,1.15332E-06,1.0537E-06
Default setting 09,1.04875E-06,1.05026E-06,1.04997E-06,1.05058E-06,1.04777E-06,1.05504E-06,1.04319E-06,1.05518E-06,1.04883E-06,1.05048E-06,1.05675E-06,1.05521E-06,1.05442E-06,1.05252E-06,1.15571E-06,1.06122E-06,1.05333E-06,1.05376E-06,1.15492E-06,1.05095E-06
Default setting 10,1.04749E-06,1.0522E-06,1.05144E-06,1.04964E-06,1.05066E-06,1.05192E-06,1.04228E-06,1.05244E-06,1.05137E-06,1.04959E-06,1.05615E-06,1.05177E-06,1.05144E-06,1.05264E-06,1.15737E-06,1.05989E-06,1.0529E-06,1.05617E-06,1.076E-06,1.05175E-06
Default setting 11,1.0606E-06,1.0557E-06,1.05095E-06,1.05071E-06,1.04979E-06,1.0583E-06,1.04383E-06,1.05387E-06,1.05178E-06,1.04909E-06,1.05533E-06,1.0563E-06,1.05496E-06,1.05103E-06,1.15707E-06,1.05838E-06,1.05118E-06,1.05468E-06,1.07533E-06,1.05208E-06
Default setting 12,1.04909E-06,1.05064E-06,1.05138E-06,1.05265E-06,1.05101E-06,1.05761E-06,1.04043E-06,1.0527E-06,1.05457E-06,1.05018E-06,1.05327E-06,1.05385E-06,1.0531E-06,1.05507E-06,1.15682E-06,1.05796E-06,1.05184E-06,1.05446E-06,1.07472E-06,1.04995E-06
