Algorithm,Benchmark,Rep,Seed,Evals,MaxDepth,BestFitness,BestFitnessNormalised,TestFitness,TestFitnessNormalised,BestExpression
GP,ADD_INTEGER_AND_FLOAT,1,-15462493,32,7,0.05350717075,0.949210435168,0.068213629615,0.93614233359,return_void print_int f2i fsub fload_2 i2f idiv idiv iload_1 iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,2,-40457823,32,7,0.06193453375,0.941677634749,0.0623462210162,0.941312709752,concat return_void print_int iload_1 print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,3,32476550,32,7,0.08071497575,0.925313354991,0.0636917589662,0.940121977604,return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,4,-49502171,32,7,0.0526704861,0.949964887593,0.0629122303988,0.940811453101,return_void print_float i2f f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,5,-1445995,32,7,0.05399835415,0.948768084943,0.061123891625,0.942397026297,return_void return_void return_void return_void return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,6,45228289,32,7,0.06179018055,0.941805658329,0.0608035657437,0.94268159751,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,7,-90913667,32,7,0.06609999955,0.937998311999,0.0603212500157,0.943110401669,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,8,40359762,32,7,0.07169999995,0.933096948817,0.0607425000172,0.942735866606,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,9,41381459,32,7,0.068100000295,0.936241924655,0.0620387501041,0.94158522926,return_void return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,10,4210593,32,7,0.05802495869,0.945157287441,0.0657858642018,0.93827478257,return_void print_float fadd i2f iload_1 fsub fdiv i2f iload_1 fload_2 fdiv fload_2 fadd fload_2 fsub fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,11,57606359,32,7,0.07187145485,0.932947692072,0.089330572,0.917994983069,return_void print_float fmul fadd fadd fsub fmul fload_2 fload_2 fsub fload_2 fload_2 fmul fmul fload_2 fload_2 fsub fload_2 fload_2 fadd fmul fmul fload_2 fload_2 fload_2 fsub fadd fload_2 fload_2 fmul fload_2 fload_2 fmul fmul i2f idiv iload_1 iload_1 fsub fload_2 fload_2 i2f isub f2i fload_2 idiv iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,12,-24510053,32,7,0.08299419545,0.923365983125,0.08101517068,0.925056398025,return_void print_float i2f isub isub f2i fload_2 iadd f2i fload_2 isub iload_1 iload_1 f2i fadd fdiv fload_2 fload_2 fsub fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,13,46832074,32,7,0.0728643316304,0.932084300426,0.0844797587384,0.922101119862,return_void return_void print_float fdiv fload_2 fmul fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,14,7966599,32,7,0.06309586285,0.940648943285,0.063078420285,0.940664377076,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,15,71380401,32,7,0.068069211,0.936268913757,0.0682866842463,0.936078315631,return_void print_float i2f idiv iadd iadd idiv iload_1 iload_1 imul iload_1 iload_1 iadd f2i fload_2 idiv iload_1 iload_1 iadd iadd iadd iload_1 iload_1 isub iload_1 iload_1 f2i fdiv fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,16,-81236822,32,7,0.0562973332,0.946703137999,0.0623195649725,0.941336329456,return_void return_void print_float i2f iload_1
GP,ADD_INTEGER_AND_FLOAT,17,84411550,32,7,0.06259999955,0.941087898008,0.0621562499289,0.941481067467,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,18,43446493,32,7,0.0518499996,0.950705899492,0.0645350000364,0.939377286764,concat fsub fmul fmul fmul fsub fload_2 fadd fload_2 fload_2 fsub fdiv fload_2 fload_2 fsub fload_2 fload_2 fdiv i2f isub iload_1 iload_1 fmul fmul fload_2 fload_2 fmul fload_2 fload_2 fmul fsub i2f iadd iload_1 iload_1 i2f imul iload_1 iload_1 fadd i2f f2i fload_2 fsub fmul fload_2 fload_2 fadd fload_2 fload_2 fdiv i2f isub isub isub iload_1 iload_1 imul iload_1 iload_1 idiv f2i fload_2 iadd iload_1 iload_1 i2f iadd imul iload_1 isub iload_1 iload_1 f2i fmul fload_2 fload_2 return_void print_float fadd fload_2 fadd fload_2 fsub fdiv fload_2 fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,19,-76958597,32,7,0.05296051405,0.949703228807,0.062758433555,0.940947602415,return_void return_void print_float fadd fmul fsub fmul fload_2 fload_2 fmul fload_2 fload_2 i2f f2i fload_2 i2f iadd isub iload_1 iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,20,86979078,32,7,0.0749999994,0.930232558659,0.0623487499226,0.941310468971,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,21,-67950882,32,7,0.05645000005,0.946566330591,0.0623487500825,0.941310468829,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,22,652148,32,7,0.0515574291,0.950970410485,0.0626538985763,0.941040164949,return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,23,-95281409,32,7,0.05954233935,0.943803718701,0.0639302413675,0.939911247108,return_void return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,24,61368803,32,7,0.5,0.666666666667,0.5,0.666666666667,return_void nop
GP,ADD_INTEGER_AND_FLOAT,25,18904346,32,7,0.5,0.666666666667,0.5,0.666666666667,return_void nop
GP,ADD_INTEGER_AND_FLOAT,26,83536907,32,7,0.00058369795,0.999416642555,0.0006315820025,0.999368816642,return_void print_int iadd f2i fload_2 iload_1
GP,ADD_INTEGER_AND_FLOAT,27,54716170,32,7,0.0521948779,0.950394286271,0.0628407143962,0.940874758047,return_void return_void print_float i2f iload_1
GP,ADD_INTEGER_AND_FLOAT,28,-16115892,32,7,0.06389999905,0.939937964934,0.0604162499723,0.94302591084,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,29,47000770,32,7,0.06772368395,0.936571900607,0.0635635285225,0.940235325095,return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,30,-32947303,32,7,0.0797294341,0.926157950703,0.0864268803275,0.920448507035,return_void print_int idiv iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,1,84033948,64,7,0.06000448385,0.943392235821,0.06261375777,0.941075713247,return_void print_int isub iload_1 f2i fsub i2f iload_1 fload_2
GP,ADD_INTEGER_AND_FLOAT,2,60827470,64,7,0.5,0.666666666667,0.5,0.666666666667,return_void nop
GP,ADD_INTEGER_AND_FLOAT,3,87319760,64,7,0.0551999999,0.947687642243,0.0638124999896,0.940015275257,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,4,47930274,64,7,0.06032965635,0.943102924653,0.05941767453,0.943914778884,return_void print_int f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,5,-41775812,64,7,0.5,0.666666666667,0.5,0.666666666667,return_void nop
GP,ADD_INTEGER_AND_FLOAT,6,9723919,64,7,1.0,0.5,1.0,0.5,fdiv fmul fload_2 fload_2 fsub fload_2 fsub fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,7,51432871,64,7,0.05941523425,0.943916953118,0.06470313973,0.939228938738,return_void print_int isub iadd idiv iadd idiv iload_1 iload_1 iadd iload_1 iload_1 iload_1 iload_1 isub iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,8,99483416,64,7,0.0638439701,0.939987468187,0.0628863512587,0.940834359963,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,9,-78993419,64,7,0.06055463725,0.942902859388,0.0641101795775,0.939752310609,return_void return_void print_int iadd f2i fdiv fdiv fload_2 fload_2 fadd fload_2 fload_2 f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,10,-10083830,64,7,0.0607734827,0.942708331523,0.0629539038425,0.94077456829,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,11,18501639,64,7,0.05845227005,0.944775714783,0.065882183375,0.938189994727,return_void return_void print_int iadd isub isub iload_1 idiv iload_1 iload_1 iload_1 f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,12,95073251,64,7,0.5,0.666666666667,0.5,0.666666666667,return_void nop
GP,ADD_INTEGER_AND_FLOAT,13,32921056,64,7,0.0006312175,0.999369180684,0.00063706862875,0.999363336969,return_void print_int iadd iload_1 f2i fdiv fmul fload_2 fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,14,12869799,64,7,0.46640414145,0.681940245348,0.471125366474,0.679751721226,return_void print_float fmul fsub fdiv fload_2 fdiv fload_2 fadd fload_2 fload_2 fload_2 i2f iadd iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,15,50520069,64,7,0.05997465265,0.943418786006,0.0640522456125,0.939803476872,return_void return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,16,-18346037,64,7,0.065699999835,0.938350380177,0.0648987499786,0.939056412659,return_void return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,17,66465352,64,7,0.056300000185,0.946700747728,0.0636062499508,0.940197559056,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,18,-20808632,64,7,0.0512396636975,0.951257866815,0.0835993432505,0.922850319381,return_void print_float fmul i2f isub iadd iadd iload_1 iload_1 f2i fload_2 idiv f2i fload_2 f2i fload_2 fdiv i2f f2i i2f iload_1 i2f isub iadd iload_1 iload_1 f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,19,98403049,64,7,0.0602910041,0.943137304884,0.0691216414425,0.935347261936,return_void return_void print_int iadd imul idiv f2i fload_2 iload_1 imul iadd iload_1 iload_1 isub iload_1 iload_1 idiv iload_1 iadd idiv iload_1 iload_1 idiv iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,20,-45139333,64,7,0.0005237612,0.999476512982,0.0006317496725,0.999368649183,return_void print_int isub f2i fload_2 isub iload_1 iadd iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,21,-79145637,64,7,0.05110050955,0.951383802894,0.06215997123,0.941477768967,return_void print_int iadd isub iload_1 iload_1 iload_1
GP,ADD_INTEGER_AND_FLOAT,22,63177530,64,7,0.05783515195,0.945326876458,0.0625204240687,0.941158379027,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,23,96164086,64,7,1.49999999888e-09,0.9999999985,1.18105000039e-09,0.999999998819,return_void print_float fadd i2f iload_1 fload_2
GP,ADD_INTEGER_AND_FLOAT,24,81019584,64,7,0.0512999997985,0.951203272322,0.0627424998971,0.940961710007,return_void return_void return_void return_void return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,25,-50560753,64,7,0.0629185033,0.940805900824,0.06541721737,0.938599436631,concat nop return_void print_int f2i fload_2
GP,ADD_INTEGER_AND_FLOAT,26,91288842,64,7,0.06642307475,0.937714143361,0.0633745906088,0.940402383912,return_void print_int iload_1
GP,ADD_INTEGER_AND_FLOAT,27,81734880,64,7,0.05994999988,0.943440728443,0.0617350001056,0.941854605811,concat f2i fmul fsub fload_2 fload_2 fload_2 return_void print_float fmul i2f f2i fdiv fload_2 fload_2 fdiv fdiv fmul fload_2 fload_2 fdiv fload_2 fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,28,-48021051,64,7,0.06395000072,0.939893791365,0.0631062500712,0.940639752549,return_void print_float fload_2
GP,ADD_INTEGER_AND_FLOAT,29,12148003,64,7,0.0005861096,0.999414233723,0.00063651029875,0.999363894589,concat return_void print_float i2f iadd f2i fload_2 iload_1 iadd isub idiv f2i fadd i2f iload_1 fdiv fload_2 fload_2 imul isub iload_1 iload_1 iadd iadd iload_1 iload_1 f2i fload_2 f2i i2f imul f2i fload_2 iadd iload_1 iload_1 isub iadd f2i fload_2 iload_1 imul isub imul iadd iload_1 iload_1 iload_1 f2i fmul fload_2 fload_2 f2i fsub fadd fload_2 fload_2 fsub fload_2 fload_2
GP,ADD_INTEGER_AND_FLOAT,30,50250601,64,7,0.0552609054,0.947632945448,0.0598932767537,0.943491219288,return_void return_void print_int iload_1
