Algorithm,Benchmark,Rep,Seed,Evals,MaxLength,Levels,BestFitness,BestFitnessNormalised,TestFitness,TestFitnessNormalised,BestExpression
UCT,ADD_INTEGER_AND_FLOAT,1,-77272543,1,100,0,0.05546525854999999,0.9474494701737524,0.08854475589750015,0.9186576799733922,(44) return_void print_int iadd iadd isub iadd idiv iadd iadd iadd f2i fdiv fsub fsub fdiv fsub fload_2 fsub fsub fadd i2f isub f2i fsub fmul fload_2 fload_2 fload_2 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,2,-94659995,1,100,0,0.12087103995000001,0.8921632947574488,0.13905555983625012,0.8779203010463855,(35) return_void print_float i2f f2i fadd fsub i2f f2i fload_2 fsub fdiv i2f iadd iadd f2i fsub fmul fmul fsub fadd fdiv fdiv fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,3,-75346688,1,100,0,1.0,0.5,1.0,0.5,(69) print_float i2f idiv f2i fadd fdiv fdiv fdiv fdiv i2f iload_1 fload_2 fload_2 i2f iload_1 fmul fmul i2f idiv isub iadd idiv iadd isub idiv idiv idiv idiv imul imul iadd idiv f2i fsub i2f isub idiv imul isub isub imul isub iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,4,55542055,1,100,0,1.0,0.5,1.0,0.5,(82) idiv isub iload_1 iadd imul f2i fload_2 isub isub imul imul iload_1 idiv imul idiv iload_1 imul iadd isub isub iload_1 isub idiv isub isub iload_1 iadd idiv iload_1 f2i fdiv i2f iadd idiv f2i i2f f2i fdiv fadd i2f isub f2i fmul fmul fsub fload_2 fload_2 i2f isub f2i i2f isub imul isub idiv iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 fload_2 iload_1 fload_2 fload_2 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,5,-19079532,1,100,0,1.0,0.5,1.0,0.5,(59) print_int isub iadd imul f2i fmul fadd i2f iadd iload_1 iadd f2i fmul fsub fmul fmul fadd fadd i2f f2i fadd fmul fsub fmul fadd fload_2 fadd fload_2 fdiv fsub fmul i2f imul f2i fdiv fadd fload_2 fload_2 fload_2 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 fload_2 fload_2 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,6,-13726900,1,100,0,1.0,0.5,1.0,0.5,(34) fadd fload_2 fsub fmul fsub fsub i2f isub f2i fmul fload_2 fadd fadd i2f f2i fsub fsub fdiv fadd i2f iload_1 fadd fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 fload_2 fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,7,48724417,1,100,0,0.4526045044,0.6884186280374032,0.4354195679987499,0.6966604206142959,(70) return_void return_void return_void return_void print_int imul isub imul imul iload_1 idiv idiv idiv idiv iload_1 isub imul iadd f2i i2f imul iadd f2i fsub i2f isub idiv isub isub imul isub isub f2i fdiv fdiv fsub fmul fadd fload_2 fdiv fdiv i2f idiv iload_1 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,8,67610239,1,100,0,1.0,0.5,1.0,0.5,(1) iload_1 
UCT,ADD_INTEGER_AND_FLOAT,9,62763035,1,100,0,1.0,0.5,1.0,0.5,(67) imul idiv iadd imul isub f2i fdiv fload_2 fdiv i2f iadd isub imul f2i fadd fadd fsub fsub fdiv fmul fadd fmul fadd fmul fsub fload_2 i2f isub imul iadd f2i fdiv fload_2 fsub fdiv fmul i2f iload_1 fmul fdiv fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,10,68407257,1,100,0,1.0,0.5,1.0,0.5,(71) print_float fdiv fmul fsub fsub fload_2 i2f iload_1 fdiv fload_2 fadd i2f f2i fsub fsub fadd fdiv fload_2 fdiv fadd fload_2 i2f iadd imul iload_1 iadd isub isub isub imul idiv imul iadd f2i fsub fadd fload_2 i2f f2i fsub fdiv i2f iload_1 i2f isub iadd iload_1 imul iload_1 idiv iload_1 iload_1 iload_1 fload_2 fload_2 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,11,-81793808,1,100,0,1.0,0.5,1.0,0.5,(7) imul iadd iadd iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,12,35839209,1,100,0,1.0,0.5,1.0,0.5,(90) fdiv i2f f2i fadd fsub fsub fmul fload_2 fload_2 i2f f2i i2f isub imul iload_1 imul isub iload_1 f2i fload_2 iadd f2i fdiv i2f f2i fload_2 i2f isub f2i fload_2 imul f2i fadd i2f imul idiv iload_1 imul idiv iload_1 idiv iload_1 iload_1 iload_1 imul iadd isub f2i i2f imul f2i fmul fmul fdiv fdiv fmul fadd i2f iload_1 fsub fmul fdiv fadd fsub i2f idiv f2i fload_2 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,13,63177389,1,100,0,1.0,0.5,1.0,0.5,(7) print_int imul f2i fadd fload_2 fload_2 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,14,-95057276,1,100,0,1.0,0.5,1.0,0.5,(1) nop 
UCT,ADD_INTEGER_AND_FLOAT,15,56373819,1,100,0,1.0,0.5,1.0,0.5,(23) fadd fload_2 fdiv fmul fload_2 fload_2 fdiv fadd fsub fsub fdiv fsub fdiv fsub fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,16,-83811035,1,100,0,0.10432928695000002,0.9055270124745648,0.08456663889625007,0.9220272541461237,(32) return_void print_float i2f idiv isub imul iadd isub idiv isub f2i i2f idiv iadd isub iadd iadd imul iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,17,17115590,1,100,0,0.1327777748,0.8827856815751501,0.13965243282999976,0.8774605056708272,(9) return_void print_float i2f f2i fsub fdiv fload_2 fload_2 fload_2 
UCT,ADD_INTEGER_AND_FLOAT,18,41775259,1,100,0,1.0,0.5,1.0,0.5,(88) idiv isub f2i fmul fload_2 fload_2 isub f2i fdiv fadd fdiv fdiv fsub fload_2 fadd fsub fsub fsub fdiv fdiv fmul fload_2 fdiv i2f imul imul isub idiv f2i fdiv fload_2 fsub i2f imul imul isub f2i fdiv fsub fadd fadd fdiv fload_2 fsub fload_2 fadd fadd fmul fdiv fsub fmul fload_2 fload_2 fadd fload_2 fdiv i2f iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 iload_1 fload_2 iload_1 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 iload_1 iload_1 
UCT,ADD_INTEGER_AND_FLOAT,19,-22568717,1,100,0,1.0,0.5,1.0,0.5,(1) fload_2 
UCT,ADD_INTEGER_AND_FLOAT,20,6142657,1,100,0,0.12023972293500002,0.8926660780962355,0.1392767146966251,0.8777498803407803,(47) return_void print_float fsub fadd fsub fload_2 fadd fadd fmul fload_2 fdiv fdiv fdiv fadd fdiv fsub fsub i2f iload_1 fdiv fadd fsub fmul i2f iadd iload_1 isub isub iadd iload_1 iload_1 iload_1 iload_1 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 fload_2 
